"STATION","DATE","ADPT","ASLP","ASTP","AWBT","AWND","CDSD","CLDD","DP01","DP05","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYNT","DYSD","DYSN","DYTS","DYXP","DYXT","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HN01","HN02","HN03","HN04","HN05","HN06","HN07","HN08","HN09","HN10","HN11","HN12","HN13","HN14","HN15","HTDD","HX01","HX02","HX03","HX04","HX05","HX06","HX07","HX08","HX09","HX10","HX11","HX12","HX13","HX14","HX15","LN01","LN02","LN03","LN04","LN05","LN06","LN07","LN08","LN09","LN10","LN11","LN12","LN13","LN14","LN15","LX01","LX02","LX03","LX04","LX05","LX06","LX07","LX08","LX09","LX10","LX11","LX12","LX13","LX14","LX15","MN01","MN02","MN03","MN04","MN05","MN06","MN07","MN08","MN09","MN10","MN11","MN12","MN13","MN14","MN15","MNPN","MX01","MX02","MX03","MX04","MX05","MX06","MX07","MX08","MX09","MX10","MX11","MX12","MX13","MX14","MX15","MXPN","PRCP","PSUN","RHAV","RHMN","RHMX","SNOW","TAVG","TIME","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USC00118740","1905-05",,,,,,"23.9","23.3","10",,"9","1","0","0","0","0","0","21","0",,,"19050524","19050531","19050530","1","19050511","19050511","5.6","0","0","29.2","29.4",,"3486.1",,,,,,,,,,,,,,,,"64.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107.7",,,,,"0","16.99",,"22.83","11.15",,,,,,,,,,,,
"USC00118740","1905-06",,,,,,"131.2","107.3","5",,"1","1","0","0","0","0","0","30","6",,,"19050627","19050630","19050630",,"19050610","19050618","7.8","0","0","26.7","36.1",,"3491.3",,,,,,,,,,,,,,,,"5.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33.0",,,,,"0","21.74",,"28.84","14.64",,,,,,,,,,,,
"USC00118740","1905-07",,,,,,"266.2","135.0","17",,"11","1","0","0","0","0","0","31","5",,,"19050725","19050731","19050731",,"19050705","19050715","11.1","0","0","36.6","33.3",,"0.0",,,,,,,,,,,,,,,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"137.2",,,,,"0","22.69",,"27.95","17.42",,,,,,,,,,,,
"USC00118740","1905-08",,,,,,"433.2","167.0","3",,"3","1","0","0","0","0","0","31","6",,,"19050826","19050831","19050831",,"19050813","19050812","12.2","0","0","31.0","34.4",,"0.0",,,,,,,,,,,,,,,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54.4",,,,,"0","23.72",,"30.05","17.38",,,,,,,,,,,,
"USC00118740","1905-09",,,,,,"493.0","59.8","4",,"3","1","0","0","0","0","0","27","2",,,"19050920","19050930","19050930",,"19050910","19050901","7.8","0","0","43.9","33.9",,"19.7",,,,,,,,,,,,,,,,"19.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.1",,,,,"0","19.67",,"25.81","13.53",,,,,,,,,,,,
"USC00118740","1905-10",,,,,,"498.3","5.3","9",,"6","1","0","0","0","9","0","12","0",,,"19051028","19051031","19051031",,"19051018","19051008","-2.8","0","0","35.6","30.0",,"244.0",,,,,,,,,,,,,,,,"224.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79.0",,,,,"0","11.27",,"17.97","4.56",,,,,,,,,,,,
"USC00118740","1905-11",,,,,,"498.3","0.0","4",,"3","0","0","0","0","24","1","1","0",,,"19051130","19051130","19051130",,"19051127","19051128","-10.6","0","0","15.2","23.3",,"668.6",,,,,,,,,,,,,,,,"424.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.9",,,,,"0","4.18",,"10.57","-2.21",,,,,,,,,,,,
"USC00118740","1905-12",,,,,,"498.3","0.0","5",,"5","0",,"1","0","31","7","0","0","1",,"19051224",,"19051201",,"19051221","19051208","-16.1",,"25","9.4","11.1",,"1276.1",,,,,,,,,,,,,,,,"607.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33.4",,,,,"25","-1.26",,"3.55","-6.07",,,,,,,,,,,,
"USC00118740","1906-01",,,,,,"0.0","0.0","5",,"5","0",,"1","0","28","6","0","0",,,"19060109",,"19060123",,"19060122","19060120","-16.7",,"25","23.1","19.4",,"1839.3",,,,,,,,,,,,,,,,"563.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41.8",,,,,"25","0.16",,"4.95","-4.62",,,,,,,,,,,,
"USC00118740","1906-02",,,,,,"0.0","0.0","6",,"4","0",,"1","2","24","10","0","0",,,"19060207",,"19060205",,"19060224","19060220","-21.7",,"51","8.6","16.7",,"2425.0",,,,,,,,,,,,,,,,"585.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.2",,,,,"51","-2.59",,"3.06","-8.23",,,,,,,,,,,,
