year,temp_avg_f,temp_max_f,temp_min_f,temp_extreme_max_f,temp_extreme_min_f,precip_total_mm,precip_max_daily_mm,days_max_gte_90f,days_min_lte_32f,gdd_base50,temp_range_f,months_available,complete_season,data_quality_score
1997,64.28,74.837,53.714,96.08000000000001,19.04,545.2,75.9,13.0,11.0,2569.589999999999,21.123000000000005,6,True,100
1998,68.69,78.698,58.675999999999995,96.08000000000001,33.08,748.5,48.5,18.0,0.0,3363.6599999999994,20.022,6,True,100
1999,67.382,78.428,56.333,96.08000000000001,33.98,647.9,75.2,27.0,0.0,3128.49,22.095,6,True,100
2000,66.296,77.282,55.306999999999995,96.98,21.02,603.7,72.4,9.0,6.0,2933.0099999999998,21.975,6,True,100
2001,67.79899999999999,79.06400000000001,56.54,96.08000000000001,28.04,501.6,43.2,25.0,4.0,3204.360000000001,22.524000000000008,6,True,100
2002,68.183,79.001,57.365,98.06,24.08,636.8,76.7,42.0,6.0,3272.9400000000014,21.636000000000003,6,True,100
2003,66.038,76.80499999999999,55.270999999999994,98.06,28.94,664.4,82.6,14.0,5.0,2886.8399999999992,21.534,6,True,100
2004,66.419,77.18599999999999,55.655,91.03999999999999,30.02,547.3,56.1,5.0,4.0,2955.6900000000005,21.53099999999999,6,True,100
2005,68.915,80.57000000000001,57.251,96.08000000000001,30.92,497.5,50.3,43.0,2.0,3403.89,23.31900000000001,6,True,100
2006,67.409,77.91799999999999,56.9,93.91999999999999,28.04,541.8,46.0,20.0,2.0,3133.6199999999985,21.017999999999994,6,True,100
2007,68.927,80.384,57.467000000000006,96.98,21.02,424.9,34.0,33.0,8.0,3406.59,22.916999999999994,6,True,100
2008,66.008,76.31,55.711999999999996,91.94,28.04,821.2,83.8,2.0,5.0,2881.979999999999,20.598000000000006,6,True,100
2009,66.014,75.965,56.066,96.98,28.94,757.1999999999999,67.8,13.0,7.0,2882.7900000000004,19.899,6,True,100
2010,69.818,80.67800000000001,58.955000000000005,95.0,30.92,569.4,34.3,32.0,1.0,3566.9700000000007,21.723000000000006,6,True,100
2011,68.17399999999999,78.956,57.395,102.02,32.0,574.3,55.4,37.0,2.0,3271.59,21.561,6,True,100
2012,69.323,81.659,56.980999999999995,102.91999999999999,28.94,497.70000000000005,52.6,55.0,3.0,3477.5999999999985,24.67800000000001,6,True,100
2013,66.833,77.741,55.925000000000004,96.98,26.060000000000002,550.1,69.3,17.0,6.0,3029.9399999999996,21.815999999999995,6,True,100
2014,66.23,76.613,55.849999999999994,93.91999999999999,26.96,767.4,110.0,4.0,6.0,2921.6699999999996,20.763000000000005,6,True,100
2015,67.703,78.182,57.221000000000004,93.91999999999999,28.04,830.3,71.6,13.0,3.0,3186.270000000002,20.961,6,True,100
2016,69.73519999999999,80.1356,59.3312,93.02,24.98,715.1,58.9,26.0,6.0,3552.0120000000006,20.804399999999994,6,True,100
2017,67.991,79.229,56.75300000000001,95.0,33.08,498.59999999999997,50.5,26.0,0.0,3238.38,22.475999999999992,6,True,100
2018,68.567,79.22,57.913999999999994,96.08000000000001,14.0,666.2,41.1,34.0,16.0,3342.0599999999986,21.306000000000004,6,True,100
2019,68.279,78.66799999999999,57.88399999999999,93.91999999999999,24.98,577.5,37.6,21.0,3.0,3289.6799999999994,20.784,6,True,100
2020,66.479,77.252,55.705999999999996,93.02,24.08,624.8,63.8,22.0,8.0,2966.22,21.546,6,True,100
2021,67.883,78.287,57.479000000000006,95.0,21.92,639.7,50.8,18.0,6.0,3218.940000000002,20.808,6,True,100
2022,67.496,77.873,57.12200000000001,98.96000000000001,19.939999999999998,499.1,56.1,27.0,10.0,3149.55,20.750999999999998,6,True,100
2023,67.91000000000001,79.277,56.54,98.06,26.96,402.8,43.9,23.0,3.0,3223.5300000000007,22.737000000000002,6,True,100
2024,68.702,78.797,58.607,95.0,30.02,799.4,94.5,20.0,3.0,3366.3599999999997,20.189999999999998,6,True,100
2025,68.89999999999999,79.724,58.082,95.0,26.96,414.1,31.2,39.0,5.0,3402.540000000001,21.642000000000003,6,True,100
